objectid,City,Station ID,Station Name,Number of Docks,Installed,On/Off-Street,EPC Status,Transit Status,Latitude,Longitude,x,y
294,San Francisco,SF-F16,Laurel St at California St,23,2020-03-06,On-Street,0,1,37.786692,-122.450081,-122.450081,37.7866920000001
295,San Francisco,SF-F23-3,Larkin St at California St,23,2023-10-19,On-Street,0,1,37.79058834,-122.4189329,-122.4189329,37.7905883400001
296,San Francisco,SF-X30,Lane St at Revere Ave,19,2018-09-20,On-Street,1,1,37.73172669,-122.3900557,-122.3900557,37.7317266900001
297,San Francisco,SF-J21,Laguna St at Hayes St,27,2017-08-07,On-Street,0,1,37.776307,-122.426188,-122.426188,37.776307
298,San Francisco,SF-I21,Laguna St at Grove St,31,2020-07-23,On-Street,0,1,37.77756937,-122.4265691,-122.4265691,37.77756937
299,San Francisco,SF-E21,Lafayette Park (Laguna St at Washington St),27,2022-01-31,Off-Street,0,1,37.79199759,-122.4293055,-122.4293055,37.7919975900001
300,San Francisco,SF-M1,La Playa St at Lincoln Way,23,2023-02-21,Off-Street,0,1,37.763874,-122.509526,-122.509526,37.763874
301,San Francisco,SF-K21,Koshland Park,27,2017-08-11,On-Street,0,1,37.77344259,-122.4271575,-122.4271575,37.7734425900001
302,San Francisco,SF-X14,Judson Ave at Gennessee St,27,2019-06-04,On-Street,0,1,37.72828159,-122.450695,-122.450695,37.7282815900001
303,San Francisco,SF-G25,Jones St at Post St,19,2018-10-24,On-Street,1,1,37.78732677,-122.4132782,-122.4132782,37.78732677
304,San Francisco,SF-GGP-05,JFK Dr at the Great Highway,23,2023-07-26,On-Street,0,1,37.77047895,-122.5105939,-122.5105939,37.77047895
305,San Francisco,SF-R20,Jersey St at Church St,19,2017-08-03,On-Street,0,1,37.7509004,-122.4274114,-122.4274114,37.7509004
306,San Francisco,SF-R19,Jersey St at Castro St,19,2017-08-03,On-Street,0,1,37.750506,-122.4339496,-122.4339496,37.750506
307,San Francisco,SF-V29,Jerrold Ave at 3rd St,19,2018-09-20,On-Street,1,1,37.73857187,-122.3896178,-122.3896178,37.73857187
308,San Francisco,SF-Y30,Jennings St at Revere Ave,19,2019-09-17,On-Street,1,1,37.72939321,-122.3865366,-122.3865366,37.7293932100001
309,San Francisco,SF-D27-3,Jackson St at Sansome St,30,2023-11-02,On-Street,1,1,37.79672497,-122.4016582,-122.4016582,37.7967249700001
310,San Francisco,SF-E23,Jackson St at Polk St,27,2019-03-20,Off-Street,0,1,37.79416044,-122.4215676,-122.4215676,37.79416044
311,San Francisco,SF-N28,Jackson Playground,27,2017-08-05,On-Street,0,1,37.7650259,-122.3987734,-122.3987734,37.7650259000001
312,San Francisco,SF-M8,Irving St at 21st Ave,19,2022-03-24,On-Street,0,1,37.76352971,-122.4796474,-122.4796474,37.7635297100001
313,San Francisco,SF-M9,Irving St at 17th Ave,27,2022-03-23,On-Street,0,1,37.76373248,-122.4752204,-122.4752204,37.76373248
314,San Francisco,SF-S29,Indiana St at Cesar Chavez St,15,2019-03-05,Off-Street,0,1,37.75043436,-122.3904473,-122.3904473,37.75043436
315,San Francisco,SF-S30,Illinois St at Cesar Chavez St,19,2019-04-11,On-Street,0,1,37.75016714,-122.386542,-122.386542,37.75016714
316,San Francisco,SF-O30-2,Illinois St at 20th St,23,2019-04-17,On-Street,0,1,37.76045756,-122.3875397,-122.3875397,37.7604575600001
317,San Francisco,SF-G24,Hyde St at Post St,27,2018-10-31,On-Street,1,1,37.7870936,-122.4167007,-122.4167007,37.7870936
318,San Francisco,SF-V30-1,Hudson Ave at 3rd St,15,2018-09-20,On-Street,0,1,37.74058873,-122.3890887,-122.3890887,37.7405887300001
319,San Francisco,SF-M28,Hubbell St at 16th St,27,2018-04-17,On-Street,0,1,37.7664827,-122.3982793,-122.3982793,37.7664827
320,San Francisco,SF-K24-2,Howard St at Grace St,12,2022-03-17,On-Street,1,1,37.7744952,-122.413905,-122.413905,37.7744952
321,San Francisco,SF-F29,Howard St at Beale St,31,2017-06-23,On-Street,0,1,37.789756,-122.394643,-122.394643,37.7897560000001
322,San Francisco,SF-J25,Howard St at 8th St,27,2017-08-11,On-Street,1,1,37.7765126,-122.4113061,-122.4113061,37.7765126
323,San Francisco,SF-I26,Howard St at 6th St,27,2018-05-11,On-Street,1,1,37.780304,-122.406609,-122.406609,37.7803040000001
324,San Francisco,SF-G28-1,Howard St at 2nd St,18,2017-06-15,On-Street,0,1,37.7864661,-122.3987161,-122.3987161,37.7864661
325,San Francisco,SF-N30,Hospital St at Mariposa St,27,2022-01-28,On-Street,0,1,37.76486083,-122.390873,-122.390873,37.76486083
326,San Francisco,SF-Z7,Holloway Ave at Arellano Ave,31,2020-09-17,On-Street,1,1,37.72095,-122.478859,-122.478859,37.7209500000001
327,San Francisco,SF-V32,Heron's Head Park,27,2019-09-18,On-Street,0,1,37.74032178,-122.3767841,-122.3767841,37.74032178
328,San Francisco,SF-P24,Harrison St at 20th St,19,2017-08-04,On-Street,0,1,37.758862,-122.412544,-122.412544,37.7588620000001
329,San Francisco,SF-N24-2,Harrison St at 17th St,19,2017-07-17,On-Street,0,1,37.7638471,-122.4130036,-122.4130036,37.7638471000001
330,San Francisco,SF-L24-2,Harrison St at 14th St,19,2022-11-10,On-Street,0,1,37.76880653,-122.4134982,-122.4134982,37.7688065300001
331,San Francisco,SF-K17-2,Haight St at Lyon St,12,2020-08-20,Off-Street,0,1,37.770519,-122.442326,-122.442326,37.770519
332,San Francisco,SF-S22-2,Guerrero Park,15,2018-11-06,On-Street,0,1,37.7457388,-122.4221402,-122.4221402,37.7457388
333,San Francisco,SF-J16,Grove St at Masonic Ave,31,2018-10-19,On-Street,0,1,37.77483629,-122.4465457,-122.4465457,37.7748362900001
334,San Francisco,SF-J22-2,Grove St at Gough St,25,2019-10-09,On-Street,0,1,37.77787007,-122.422953,-122.422953,37.7778700700001
335,San Francisco,SF-J18,Grove St at Divisadero,27,2017-08-11,On-Street,0,1,37.775946,-122.4377775,-122.4377775,37.775946
336,San Francisco,SF-C20,Greenwich St at Webster St,19,2019-05-08,On-Street,0,1,37.79920793,-122.4341217,-122.4341217,37.7992079300001
337,San Francisco,SF-B21,Greenwich St at Franklin St,27,2019-11-08,On-Street,0,1,37.80029941,-122.4257839,-122.4257839,37.80029941
338,San Francisco,SF-C22,Green St at Van Ness Ave,23,2020-03-06,On-Street,0,1,37.79762791,-122.423535,-122.423535,37.7976279100001
339,San Francisco,SF-H0,Great Hwy at Balboa St,27,2020-09-30,On-Street,0,1,37.775211,-122.511208,-122.511208,37.7752110000001
340,San Francisco,SF-F26-2,Grant St at Sutter St,33,2022-05-25,On-Street,1,1,37.78970985,-122.4054839,-122.4054839,37.7897098500001
341,San Francisco,SF-I23-1,Golden Gate Ave at Polk St,31,2017-06-21,On-Street,1,1,37.78136135,-122.41853,-122.41853,37.7813613500001
342,San Francisco,SF-I22,Golden Gate Ave at Franklin St,31,2019-01-03,On-Street,1,1,37.78080573,-122.4219061,-122.4219061,37.7808057300001
343,San Francisco,SF-Y25,Goettingen St at Bacon St,23,2019-03-06,On-Street,1,1,37.72694297,-122.4065995,-122.4065995,37.72694297
344,San Francisco,SF-W19,Glen Park BART Station,40,2019-04-05,Off-Street,0,1,37.7328128,-122.4341404,-122.4341404,37.7328128
345,San Francisco,SF-W14,Gennessee St at Monterey Blvd,15,2019-06-04,Off-Street,0,1,37.73165669,-122.4511215,-122.4511215,37.7316566900001
346,San Francisco,SF-R24,Garfield Square (25th St at Harrison St),23,2017-09-25,On-Street,1,1,37.7510171,-122.4119009,-122.4119009,37.7510171000001
347,San Francisco,SF-M10,Funston Ave at Irving St,27,2020-01-10,On-Street,0,1,37.76393403,-122.4706507,-122.4706507,37.76393403
